"CO2 emisija, g/km",Color,Body type,Price,Catalytic converter,Tinted windows,First registration,Driven wheels,Fuel type,LED headlights,ESP,Fog lights,Number of seats,Mileage,Gearbox,Alarm,Electric mirrors,Heated mirrors,Lane Departure Warning,Fuel consuption Urban l/100 km,Boot cover,Start-Stop system,Tow hook,LED daytime running lights,Immobilizer,Hill-start assist control,Multifunctional steering wheel,Adaptive Cruise Control,Automatic headlamps,LCD monitor,MP3 player,Road sign recognition,Dimming mirror,AUX input,URL,ISOFIX mounts,Fuel consuption combined l/100 km,Rainfall sensor,Traction control system,Rear view camera,Cruise control,First registration country,Electric seats,Fuel consuption out-of-city l/100 km,Make,Model,Engine Power KW,Engine size in Cm3,car_id
265,Black,Wagon,550,0,0,1996,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A6,85.0,Very Low,28
207,Blue,Saloon / sedan,550,0,0,2001,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,209000,Manual,0,0,0,0,"8,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,"6,5",0,0,0,0,0,0,52,Volvo,S60,103.0,Low,29
129,Blue,Hatchback,550,1,1,2007,Front wheel drive (FWD),Petrol,0,1,1,5,175000,Manual,1,1,1,0,4,1,0,0,0,1,1,1,0,0,0,0,0,1,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,1,0,1,1,0,0,Czech Republic,0,0,Volkswagen,Polo,51.0,Very Low,30
158,Black,Saloon / sedan,550,0,0,1995,Front wheel drive (FWD),Petrol,0,0,0,5,203300,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Germany,0,0,Audi,A4,74.0,Very Low,31
265,Black,Wagon,550,0,0,1996,Front wheel drive (FWD),Diesel,0,0,0,5,300000,Manual,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A6,85.0,Very Low,32
175,Blue,Wagon,600,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,354000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-v70-2-4-l-wagon-2002-diesel-27134597.html,0,0,0,0,0,0,France,0,0,Volvo,V70,120.0,Low,33
172,Gray / silver,Saloon / sedan,600,0,0,2003,0,Diesel,0,0,0,0,364071,Automatic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volvo-s80-2-4-l-saloon-sedan-2003-diesel-27187143.html,0,0,0,0,0,1,0,0,0,Volvo,S80,120.0,Low,34
162,Red / crimson,Saloon / sedan,600,0,0,1994,Front wheel drive (FWD),Petrol,0,0,0,5,250000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-80-2-0-l-saloon-sedan-1994-petrol-25209761.html,0,0,0,0,0,0,0,0,0,Audi,80,85.0,Low,35
181,Green / olive,Hatchback,600,0,0,1996,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,363012,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a3-hatchback-1996-petrol-gas-27106077.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A3,116.0,Low,36
0,White,Commercial,600,0,0,1995,Front wheel drive (FWD),Diesel,0,0,0,5,394691,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/volkswagen-transporter-2-4-l-commercial-1995-diesel-26065934.html,0,0,0,0,0,0,0,0,0,Volkswagen,Transporter,57.0,Very Low,37
175,Blue,Wagon,600,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,354000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,France,0,0,Volvo,V70,120.0,Low,38
172,Gray / silver,Saloon / sedan,600,0,0,2003,0,Diesel,0,0,0,0,364071,Automatic,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,1,0,0,0,Volvo,S80,120.0,Low,39
162,Red / crimson,Saloon / sedan,600,0,0,1994,Front wheel drive (FWD),Petrol,0,0,0,5,250000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Audi,80,85.0,Low,40
181,Green / olive,Hatchback,600,0,0,1996,Front wheel drive (FWD),Petrol / LPG,0,0,0,5,363012,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,Lithuania,0,0,Audi,A3,116.0,Low,41
0,White,Commercial,600,0,0,1995,Front wheel drive (FWD),Diesel,0,0,0,5,394691,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,0,0,0,Volkswagen,Transporter,57.0,Very Low,42
175,Blue,Wagon,600,0,0,2002,Front wheel drive (FWD),Diesel,0,0,0,5,354000,Manual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://en.autoplius.lt/ads/audi-a6-2-5-l-wagon-2001-diesel-27226835.html,0,0,0,0,0,0,France,0,0,Volvo,V70,120.0,Low,43
